timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695071498693,110,view books,200,OK,Thread Group 1-2098,text,true,,276,381,1892,1892,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,110,0,0
1695071498700,104,view available,200,OK,Thread Group 1-1927,text,true,,218,401,1892,1892,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,104,0,0
1695071498697,107,view books,200,OK,Thread Group 1-2101,text,true,,276,381,1892,1892,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,107,0,0
1695071497927,879,get services,200,OK,Thread Group 1-1641,text,true,,244,323,1893,1893,http://34.159.148.128/api/Service/get?companyId=3,879,0,0
1695071492452,6354,login,200,OK,Thread Group 1-537,text,true,,327,288,1893,1893,http://34.159.148.128/api/Account/login,6352,0,3182
1695071498708,101,view block times,200,OK,Thread Group 1-1190,text,true,,218,342,1894,1894,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,101,0,0
1695071498711,100,view block times,200,OK,Thread Group 1-1719,text,true,,218,342,1893,1893,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,100,0,0
1695071498718,95,get services,200,OK,Thread Group 1-2546,text,true,,244,323,1893,1893,http://34.159.148.128/api/Service/get?companyId=3,95,0,0
1695071496153,2661,login,200,OK,Thread Group 1-1771,text,true,,327,288,1893,1893,http://34.159.148.128/api/Account/login,2661,0,198
1695071498246,570,view available,200,OK,Thread Group 1-1944,text,true,,218,401,1894,1894,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,570,0,0
1695071498229,588,view available,200,OK,Thread Group 1-1263,text,true,,218,401,1895,1895,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,588,0,0
1695071496896,1923,login,200,OK,Thread Group 1-2018,text,true,,327,288,1895,1895,http://34.159.148.128/api/Account/login,1923,0,1198
1695071498016,804,login,200,OK,Thread Group 1-2391,text,true,,327,288,1895,1895,http://34.159.148.128/api/Account/login,804,0,202
1695071496982,1839,view block times,200,OK,Thread Group 1-1153,text,true,,218,342,1896,1896,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,1839,0,0
1695071498003,818,login,200,OK,Thread Group 1-2387,text,true,,327,288,1896,1896,http://34.159.148.128/api/Account/login,818,0,203
1695071496261,2564,login,200,OK,Thread Group 1-1807,text,true,,327,288,1896,1896,http://34.159.148.128/api/Account/login,2564,0,191
1695071498732,94,view available,200,OK,Thread Group 1-1286,text,true,,218,401,1896,1896,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,94,0,0
1695071498232,596,view available,200,OK,Thread Group 1-1935,text,true,,218,401,1897,1897,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,596,0,0
1695071498733,95,get services,200,OK,Thread Group 1-2358,text,true,,244,323,1897,1897,http://34.159.148.128/api/Service/get?companyId=3,95,0,0
1695071498622,208,login,200,OK,Thread Group 1-2594,text,true,,327,288,1898,1898,http://34.159.148.128/api/Account/login,208,0,118
1695071498740,92,view block times,200,OK,Thread Group 1-1615,text,true,,218,342,1898,1898,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,92,0,0
1695071498746,87,view available,200,OK,Thread Group 1-1819,text,true,,218,401,1898,1898,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,87,0,0
1695071498746,88,get services,200,OK,Thread Group 1-1300,text,true,,244,323,1898,1898,http://34.159.148.128/api/Service/get?companyId=3,88,0,0
1695071498635,201,login,200,OK,Thread Group 1-2598,text,true,,327,288,1899,1899,http://34.159.148.128/api/Account/login,201,0,113
1695071498750,88,view block times,200,OK,Thread Group 1-1837,text,true,,218,342,1900,1900,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,88,0,0
1695071498751,89,view available,200,OK,Thread Group 1-1982,text,true,,218,401,1899,1899,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,89,0,0
1695071492755,6087,login,200,OK,Thread Group 1-638,text,true,,327,288,1900,1900,http://34.159.148.128/api/Account/login,6087,0,1170
1695071497281,1562,login,200,OK,Thread Group 1-2147,text,true,,327,288,1900,1900,http://34.159.148.128/api/Account/login,1562,0,1168
1695071498277,566,view available,200,OK,Thread Group 1-1963,text,true,,218,401,1900,1900,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,566,0,0
1695071498300,544,get services,200,OK,Thread Group 1-2022,text,true,,244,323,1900,1900,http://34.159.148.128/api/Service/get?companyId=3,544,0,0
1695071491239,7606,login,200,OK,Thread Group 1-13,text,true,,327,288,1901,1901,http://34.159.148.128/api/Account/login,7606,0,1389
1695071498264,584,view block times,200,OK,Thread Group 1-1363,text,true,,218,342,1902,1902,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,584,0,0
1695071496324,2524,login,200,OK,Thread Group 1-1828,text,true,,327,288,1902,1902,http://34.159.148.128/api/Account/login,2524,0,1202
1695071498255,593,view block times,200,OK,Thread Group 1-1206,text,true,,218,342,1901,1901,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,593,0,0
